id_code,experiment,plate,well,sirna,well_type
HEPG2-01_2_H03,HEPG2-01,2,H03,1108,positive_control
HEPG2-01_2_H07,HEPG2-01,2,H07,1123,positive_control
HEPG2-01_2_H11,HEPG2-01,2,H11,1130,positive_control
HEPG2-01_2_H15,HEPG2-01,2,H15,1137,positive_control
HEPG2-01_2_H19,HEPG2-01,2,H19,1112,positive_control
HEPG2-01_2_H22,HEPG2-01,2,H22,1133,positive_control
HEPG2-01_2_J03,HEPG2-01,2,J03,1129,positive_control
HEPG2-01_2_J07,HEPG2-01,2,J07,1135,positive_control
HEPG2-01_2_J11,HEPG2-01,2,J11,1109,positive_control
HEPG2-01_2_J15,HEPG2-01,2,J15,1120,positive_control
HEPG2-01_2_J19,HEPG2-01,2,J19,1119,positive_control
HEPG2-01_2_J22,HEPG2-01,2,J22,1125,positive_control
HEPG2-01_2_M03,HEPG2-01,2,M03,1121,positive_control
HEPG2-01_2_M07,HEPG2-01,2,M07,1128,positive_control
HEPG2-01_2_M11,HEPG2-01,2,M11,1114,positive_control
HEPG2-01_2_M15,HEPG2-01,2,M15,1117,positive_control
HEPG2-01_2_M19,HEPG2-01,2,M19,1124,positive_control
HEPG2-01_2_M22,HEPG2-01,2,M22,1116,positive_control
HEPG2-01_3_B02,HEPG2-01,3,B02,1138,negative_control
HEPG2-01_3_C03,HEPG2-01,3,C03,1134,positive_control
HEPG2-01_3_C07,HEPG2-01,3,C07,1129,positive_control
HEPG2-01_3_C11,HEPG2-01,3,C11,1116,positive_control
HEPG2-01_3_C15,HEPG2-01,3,C15,1114,positive_control
HEPG2-01_3_C19,HEPG2-01,3,C19,1133,positive_control
HEPG2-01_3_C22,HEPG2-01,3,C22,1126,positive_control
HEPG2-01_3_F03,HEPG2-01,3,F03,1136,positive_control
HEPG2-01_3_F07,HEPG2-01,3,F07,1124,positive_control
HEPG2-01_3_F11,HEPG2-01,3,F11,1131,positive_control
HEPG2-01_3_F15,HEPG2-01,3,F15,1120,positive_control
HEPG2-01_3_F19,HEPG2-01,3,F19,1111,positive_control
HEPG2-01_3_F22,HEPG2-01,3,F22,1119,positive_control
HEPG2-01_3_H03,HEPG2-01,3,H03,1135,positive_control
HEPG2-01_3_H07,HEPG2-01,3,H07,1117,positive_control
HEPG2-01_3_H11,HEPG2-01,3,H11,1112,positive_control
HEPG2-01_3_H15,HEPG2-01,3,H15,1128,positive_control
HEPG2-01_3_H19,HEPG2-01,3,H19,1109,positive_control
HEPG2-01_3_H22,HEPG2-01,3,H22,1121,positive_control
HEPG2-01_3_J03,HEPG2-01,3,J03,1137,positive_control
HEPG2-01_3_J07,HEPG2-01,3,J07,1130,positive_control
HEPG2-01_3_J11,HEPG2-01,3,J11,1123,positive_control
HEPG2-01_3_J15,HEPG2-01,3,J15,1132,positive_control
HEPG2-01_3_J19,HEPG2-01,3,J19,1122,positive_control
HEPG2-01_3_J22,HEPG2-01,3,J22,1115,positive_control
HEPG2-01_3_M03,HEPG2-01,3,M03,1127,positive_control
HEPG2-01_3_M07,HEPG2-01,3,M07,1108,positive_control
HEPG2-01_3_M11,HEPG2-01,3,M11,1113,positive_control
HEPG2-01_3_M15,HEPG2-01,3,M15,1118,positive_control
HEPG2-01_3_M19,HEPG2-01,3,M19,1110,positive_control
HEPG2-01_3_M22,HEPG2-01,3,M22,1125,positive_control
HEPG2-01_4_B02,HEPG2-01,4,B02,1138,negative_control
HEPG2-01_4_C03,HEPG2-01,4,C03,1125,positive_control
HEPG2-01_4_C07,HEPG2-01,4,C07,1129,positive_control
HEPG2-01_4_C11,HEPG2-01,4,C11,1117,positive_control
HEPG2-01_4_C15,HEPG2-01,4,C15,1133,positive_control
HEPG2-01_4_C19,HEPG2-01,4,C19,1115,positive_control
HEPG2-01_4_C22,HEPG2-01,4,C22,1113,positive_control
HEPG2-01_4_F03,HEPG2-01,4,F03,1116,positive_control
HEPG2-01_4_F07,HEPG2-01,4,F07,1132,positive_control
HEPG2-01_4_F11,HEPG2-01,4,F11,1119,positive_control
HEPG2-01_4_F15,HEPG2-01,4,F15,1124,positive_control
HEPG2-01_4_F19,HEPG2-01,4,F19,1134,positive_control
HEPG2-01_4_F22,HEPG2-01,4,F22,1137,positive_control
HEPG2-01_4_H03,HEPG2-01,4,H03,1114,positive_control
HEPG2-01_4_H07,HEPG2-01,4,H07,1121,positive_control
HEPG2-01_4_H11,HEPG2-01,4,H11,1128,positive_control
HEPG2-01_4_H15,HEPG2-01,4,H15,1127,positive_control
HEPG2-01_4_H19,HEPG2-01,4,H19,1120,positive_control
HEPG2-01_4_H22,HEPG2-01,4,H22,1111,positive_control
HEPG2-01_4_J03,HEPG2-01,4,J03,1135,positive_control
HEPG2-01_4_J07,HEPG2-01,4,J07,1131,positive_control
HEPG2-01_4_J11,HEPG2-01,4,J11,1123,positive_control
HEPG2-01_4_J15,HEPG2-01,4,J15,1112,positive_control
HEPG2-01_4_J19,HEPG2-01,4,J19,1110,positive_control
HEPG2-01_4_J22,HEPG2-01,4,J22,1109,positive_control
HEPG2-01_4_M03,HEPG2-01,4,M03,1118,positive_control
HEPG2-01_4_M07,HEPG2-01,4,M07,1122,positive_control
HEPG2-01_4_M11,HEPG2-01,4,M11,1130,positive_control
HEPG2-01_4_M15,HEPG2-01,4,M15,1108,positive_control
HEPG2-01_4_M19,HEPG2-01,4,M19,1126,positive_control
HEPG2-01_4_M22,HEPG2-01,4,M22,1136,positive_control
HEPG2-01_4_O09,HEPG2-01,4,O09,1138,negative_control
HEPG2-02_1_B02,HEPG2-02,1,B02,1138,negative_control
HEPG2-02_1_C03,HEPG2-02,1,C03,1133,positive_control
HEPG2-02_1_C07,HEPG2-02,1,C07,1128,positive_control
HEPG2-02_1_C11,HEPG2-02,1,C11,1110,positive_control
HEPG2-02_1_C15,HEPG2-02,1,C15,1117,positive_control
HEPG2-02_1_C19,HEPG2-02,1,C19,1114,positive_control
HEPG2-02_1_C22,HEPG2-02,1,C22,1108,positive_control
HEPG2-02_1_F03,HEPG2-02,1,F03,1121,positive_control
HEPG2-02_1_F07,HEPG2-02,1,F07,1123,positive_control
HEPG2-02_1_F11,HEPG2-02,1,F11,1125,positive_control
HEPG2-02_1_F15,HEPG2-02,1,F15,1111,positive_control
HEPG2-02_1_F19,HEPG2-02,1,F19,1127,positive_control
HEPG2-02_1_F22,HEPG2-02,1,F22,1135,positive_control
HEPG2-02_1_H03,HEPG2-02,1,H03,1119,positive_control
HEPG2-02_1_H07,HEPG2-02,1,H07,1118,positive_control
HEPG2-02_1_H11,HEPG2-02,1,H11,1113,positive_control
HEPG2-02_1_H15,HEPG2-02,1,H15,1120,positive_control
HEPG2-02_1_H19,HEPG2-02,1,H19,1137,positive_control
HEPG2-02_1_H22,HEPG2-02,1,H22,1112,positive_control
HEPG2-02_1_J03,HEPG2-02,1,J03,1129,positive_control
HEPG2-02_1_J07,HEPG2-02,1,J07,1126,positive_control
HEPG2-02_1_J11,HEPG2-02,1,J11,1116,positive_control
HEPG2-02_1_J15,HEPG2-02,1,J15,1134,positive_control
HEPG2-02_1_J19,HEPG2-02,1,J19,1132,positive_control
HEPG2-02_1_J22,HEPG2-02,1,J22,1122,positive_control
HEPG2-02_1_M03,HEPG2-02,1,M03,1115,positive_control
HEPG2-02_1_M07,HEPG2-02,1,M07,1130,positive_control
HEPG2-02_1_M11,HEPG2-02,1,M11,1109,positive_control
HEPG2-02_1_M15,HEPG2-02,1,M15,1124,positive_control
HEPG2-02_1_M19,HEPG2-02,1,M19,1136,positive_control
HEPG2-02_1_M22,HEPG2-02,1,M22,1131,positive_control
HEPG2-02_1_N04,HEPG2-02,1,N04,1138,negative_control
HEPG2-02_2_B02,HEPG2-02,2,B02,1138,negative_control
HEPG2-02_2_C03,HEPG2-02,2,C03,1137,positive_control
HEPG2-02_2_C07,HEPG2-02,2,C07,1126,positive_control
HEPG2-02_2_C11,HEPG2-02,2,C11,1113,positive_control
HEPG2-02_2_C15,HEPG2-02,2,C15,1136,positive_control
HEPG2-02_2_C19,HEPG2-02,2,C19,1122,positive_control
HEPG2-02_2_C22,HEPG2-02,2,C22,1135,positive_control
HEPG2-02_2_F03,HEPG2-02,2,F03,1120,positive_control
HEPG2-02_2_F07,HEPG2-02,2,F07,1112,positive_control
HEPG2-02_2_F11,HEPG2-02,2,F11,1128,positive_control
HEPG2-02_2_F15,HEPG2-02,2,F15,1115,positive_control
HEPG2-02_2_F19,HEPG2-02,2,F19,1110,positive_control
HEPG2-02_2_F22,HEPG2-02,2,F22,1123,positive_control
HEPG2-02_2_H03,HEPG2-02,2,H03,1121,positive_control
HEPG2-02_2_H07,HEPG2-02,2,H07,1116,positive_control
HEPG2-02_2_H11,HEPG2-02,2,H11,1114,positive_control
HEPG2-02_2_H15,HEPG2-02,2,H15,1134,positive_control
HEPG2-02_2_H19,HEPG2-02,2,H19,1111,positive_control
HEPG2-02_2_H22,HEPG2-02,2,H22,1125,positive_control
HEPG2-02_2_J03,HEPG2-02,2,J03,1127,positive_control
HEPG2-02_2_J07,HEPG2-02,2,J07,1133,positive_control
HEPG2-02_2_J11,HEPG2-02,2,J11,1130,positive_control
HEPG2-02_2_J15,HEPG2-02,2,J15,1109,positive_control
HEPG2-02_2_J19,HEPG2-02,2,J19,1117,positive_control
HEPG2-02_2_J22,HEPG2-02,2,J22,1108,positive_control
HEPG2-02_2_M03,HEPG2-02,2,M03,1131,positive_control
HEPG2-02_2_M07,HEPG2-02,2,M07,1132,positive_control
HEPG2-02_2_M11,HEPG2-02,2,M11,1124,positive_control
HEPG2-02_2_M15,HEPG2-02,2,M15,1118,positive_control
HEPG2-02_2_M19,HEPG2-02,2,M19,1129,positive_control
HEPG2-02_2_M22,HEPG2-02,2,M22,1119,positive_control
HEPG2-02_3_B02,HEPG2-02,3,B02,1138,negative_control
HEPG2-02_3_C03,HEPG2-02,3,C03,1117,positive_control
HEPG2-02_3_C07,HEPG2-02,3,C07,1136,positive_control
HEPG2-02_3_C11,HEPG2-02,3,C11,1130,positive_control
HEPG2-02_3_C15,HEPG2-02,3,C15,1111,positive_control
HEPG2-02_3_C19,HEPG2-02,3,C19,1131,positive_control
HEPG2-02_3_C22,HEPG2-02,3,C22,1116,positive_control
HEPG2-02_3_F03,HEPG2-02,3,F03,1114,positive_control
HEPG2-02_3_F07,HEPG2-02,3,F07,1112,positive_control
HEPG2-02_3_F11,HEPG2-02,3,F11,1137,positive_control
HEPG2-02_3_F15,HEPG2-02,3,F15,1132,positive_control
HEPG2-02_3_F19,HEPG2-02,3,F19,1129,positive_control
HEPG2-02_3_F22,HEPG2-02,3,F22,1118,positive_control
HEPG2-02_3_H03,HEPG2-02,3,H03,1121,positive_control
HEPG2-02_3_H07,HEPG2-02,3,H07,1123,positive_control
HEPG2-02_3_H11,HEPG2-02,3,H11,1122,positive_control
HEPG2-02_3_H15,HEPG2-02,3,H15,1109,positive_control
HEPG2-02_3_H19,HEPG2-02,3,H19,1125,positive_control
HEPG2-02_3_H22,HEPG2-02,3,H22,1110,positive_control
HEPG2-02_3_J03,HEPG2-02,3,J03,1126,positive_control
HEPG2-02_3_J07,HEPG2-02,3,J07,1133,positive_control
HEPG2-02_3_J11,HEPG2-02,3,J11,1113,positive_control
HEPG2-02_3_J15,HEPG2-02,3,J15,1124,positive_control
HEPG2-02_3_J19,HEPG2-02,3,J19,1134,positive_control
HEPG2-02_3_J22,HEPG2-02,3,J22,1128,positive_control
HEPG2-02_3_M03,HEPG2-02,3,M03,1127,positive_control
HEPG2-02_3_M07,HEPG2-02,3,M07,1115,positive_control
HEPG2-02_3_M11,HEPG2-02,3,M11,1120,positive_control
HEPG2-02_3_M15,HEPG2-02,3,M15,1135,positive_control
HEPG2-02_3_M19,HEPG2-02,3,M19,1119,positive_control
HEPG2-02_3_M22,HEPG2-02,3,M22,1108,positive_control
HEPG2-02_4_B02,HEPG2-02,4,B02,1138,negative_control
HEPG2-02_4_C03,HEPG2-02,4,C03,1135,positive_control
HEPG2-02_4_C07,HEPG2-02,4,C07,1128,positive_control
HEPG2-02_4_C11,HEPG2-02,4,C11,1127,positive_control
HEPG2-02_4_C15,HEPG2-02,4,C15,1125,positive_control
HEPG2-02_4_C19,HEPG2-02,4,C19,1114,positive_control
HEPG2-02_4_C22,HEPG2-02,4,C22,1132,positive_control
HEPG2-02_4_F03,HEPG2-02,4,F03,1115,positive_control
HEPG2-02_4_F07,HEPG2-02,4,F07,1130,positive_control
HEPG2-02_4_F11,HEPG2-02,4,F11,1118,positive_control
HEPG2-02_4_F15,HEPG2-02,4,F15,1134,positive_control
HEPG2-02_4_F19,HEPG2-02,4,F19,1121,positive_control
HEPG2-02_4_F22,HEPG2-02,4,F22,1108,positive_control
HEPG2-02_4_G10,HEPG2-02,4,G10,1138,negative_control
HEPG2-02_4_H03,HEPG2-02,4,H03,1111,positive_control
HEPG2-02_4_H07,HEPG2-02,4,H07,1110,positive_control
HEPG2-02_4_H11,HEPG2-02,4,H11,1126,positive_control
HEPG2-02_4_H15,HEPG2-02,4,H15,1131,positive_control
HEPG2-02_4_H19,HEPG2-02,4,H19,1117,positive_control
HEPG2-02_4_H22,HEPG2-02,4,H22,1133,positive_control
HEPG2-02_4_J03,HEPG2-02,4,J03,1136,positive_control
HEPG2-02_4_J07,HEPG2-02,4,J07,1119,positive_control
HEPG2-02_4_J11,HEPG2-02,4,J11,1120,positive_control
HEPG2-02_4_J15,HEPG2-02,4,J15,1124,positive_control
HEPG2-02_4_J19,HEPG2-02,4,J19,1113,positive_control
HEPG2-02_4_J22,HEPG2-02,4,J22,1137,positive_control
HEPG2-02_4_M03,HEPG2-02,4,M03,1109,positive_control
HEPG2-02_4_M07,HEPG2-02,4,M07,1122,positive_control
HEPG2-02_4_M11,HEPG2-02,4,M11,1129,positive_control
HEPG2-02_4_M15,HEPG2-02,4,M15,1123,positive_control
HEPG2-02_4_M19,HEPG2-02,4,M19,1116,positive_control
HEPG2-02_4_M22,HEPG2-02,4,M22,1112,positive_control
HEPG2-03_1_B02,HEPG2-03,1,B02,1138,negative_control
HEPG2-03_1_C03,HEPG2-03,1,C03,1134,positive_control
HEPG2-03_1_C07,HEPG2-03,1,C07,1114,positive_control
HEPG2-03_1_C11,HEPG2-03,1,C11,1137,positive_control
HEPG2-03_1_C15,HEPG2-03,1,C15,1118,positive_control
HEPG2-03_1_C19,HEPG2-03,1,C19,1121,positive_control
HEPG2-03_1_C22,HEPG2-03,1,C22,1127,positive_control
HEPG2-03_1_F03,HEPG2-03,1,F03,1109,positive_control
HEPG2-03_1_F07,HEPG2-03,1,F07,1135,positive_control
HEPG2-03_1_F11,HEPG2-03,1,F11,1133,positive_control
HEPG2-03_1_F15,HEPG2-03,1,F15,1110,positive_control
HEPG2-03_1_F19,HEPG2-03,1,F19,1120,positive_control
HEPG2-03_1_F22,HEPG2-03,1,F22,1115,positive_control
HEPG2-03_1_H03,HEPG2-03,1,H03,1126,positive_control
HEPG2-03_1_H07,HEPG2-03,1,H07,1132,positive_control
HEPG2-03_1_H11,HEPG2-03,1,H11,1116,positive_control
HEPG2-03_1_H15,HEPG2-03,1,H15,1124,positive_control
HEPG2-03_1_H19,HEPG2-03,1,H19,1129,positive_control
HEPG2-03_1_H22,HEPG2-03,1,H22,1117,positive_control
HEPG2-03_1_J03,HEPG2-03,1,J03,1123,positive_control
HEPG2-03_1_J07,HEPG2-03,1,J07,1130,positive_control
HEPG2-03_1_J11,HEPG2-03,1,J11,1113,positive_control
HEPG2-03_1_J15,HEPG2-03,1,J15,1125,positive_control
HEPG2-03_1_J19,HEPG2-03,1,J19,1111,positive_control
HEPG2-03_1_J22,HEPG2-03,1,J22,1136,positive_control
HEPG2-03_1_M03,HEPG2-03,1,M03,1131,positive_control
HEPG2-03_1_M07,HEPG2-03,1,M07,1112,positive_control
HEPG2-03_1_M11,HEPG2-03,1,M11,1128,positive_control
HEPG2-03_1_M15,HEPG2-03,1,M15,1108,positive_control
HEPG2-03_1_M19,HEPG2-03,1,M19,1122,positive_control
HEPG2-03_1_M22,HEPG2-03,1,M22,1119,positive_control
HEPG2-03_2_B02,HEPG2-03,2,B02,1138,negative_control
HEPG2-03_2_C03,HEPG2-03,2,C03,1108,positive_control
HEPG2-03_2_C07,HEPG2-03,2,C07,1130,positive_control
HEPG2-03_2_C11,HEPG2-03,2,C11,1123,positive_control
HEPG2-03_2_C15,HEPG2-03,2,C15,1116,positive_control
HEPG2-03_2_C19,HEPG2-03,2,C19,1118,positive_control
HEPG2-03_2_C22,HEPG2-03,2,C22,1126,positive_control
HEPG2-03_2_F03,HEPG2-03,2,F03,1114,positive_control
HEPG2-03_2_F07,HEPG2-03,2,F07,1135,positive_control
HEPG2-03_2_F11,HEPG2-03,2,F11,1132,positive_control
HEPG2-03_2_F15,HEPG2-03,2,F15,1124,positive_control
HEPG2-03_2_F19,HEPG2-03,2,F19,1111,positive_control
HEPG2-03_2_F22,HEPG2-03,2,F22,1117,positive_control
HEPG2-03_2_H03,HEPG2-03,2,H03,1121,positive_control
HEPG2-03_2_H07,HEPG2-03,2,H07,1112,positive_control
HEPG2-03_2_H11,HEPG2-03,2,H11,1125,positive_control
HEPG2-03_2_H15,HEPG2-03,2,H15,1110,positive_control
HEPG2-03_2_H19,HEPG2-03,2,H19,1128,positive_control
HEPG2-03_2_H22,HEPG2-03,2,H22,1133,positive_control
HEPG2-03_2_J03,HEPG2-03,2,J03,1137,positive_control
HEPG2-03_2_J07,HEPG2-03,2,J07,1136,positive_control
HEPG2-03_2_J11,HEPG2-03,2,J11,1127,positive_control
HEPG2-03_2_J15,HEPG2-03,2,J15,1129,positive_control
HEPG2-03_2_J19,HEPG2-03,2,J19,1134,positive_control
HEPG2-03_2_J22,HEPG2-03,2,J22,1131,positive_control
HEPG2-03_2_M03,HEPG2-03,2,M03,1119,positive_control
HEPG2-03_2_M07,HEPG2-03,2,M07,1109,positive_control
HEPG2-03_2_M11,HEPG2-03,2,M11,1113,positive_control
HEPG2-03_2_M15,HEPG2-03,2,M15,1120,positive_control
HEPG2-03_2_M19,HEPG2-03,2,M19,1122,positive_control
HEPG2-03_2_M22,HEPG2-03,2,M22,1115,positive_control
HEPG2-03_3_B02,HEPG2-03,3,B02,1138,negative_control
HEPG2-03_3_C03,HEPG2-03,3,C03,1121,positive_control
HEPG2-03_3_C07,HEPG2-03,3,C07,1132,positive_control
HEPG2-03_3_C11,HEPG2-03,3,C11,1116,positive_control
HEPG2-03_3_C15,HEPG2-03,3,C15,1118,positive_control
HEPG2-03_3_C19,HEPG2-03,3,C19,1128,positive_control
HEPG2-03_3_C22,HEPG2-03,3,C22,1112,positive_control
HEPG2-03_3_F03,HEPG2-03,3,F03,1123,positive_control
HEPG2-03_3_F07,HEPG2-03,3,F07,1126,positive_control
HEPG2-03_3_F11,HEPG2-03,3,F11,1117,positive_control
HEPG2-03_3_F15,HEPG2-03,3,F15,1113,positive_control
HEPG2-03_3_F19,HEPG2-03,3,F19,1134,positive_control
HEPG2-03_3_F22,HEPG2-03,3,F22,1130,positive_control
HEPG2-03_3_H03,HEPG2-03,3,H03,1136,positive_control
HEPG2-03_3_H07,HEPG2-03,3,H07,1114,positive_control
HEPG2-03_3_H11,HEPG2-03,3,H11,1109,positive_control
HEPG2-03_3_H15,HEPG2-03,3,H15,1131,positive_control
HEPG2-03_3_H19,HEPG2-03,3,H19,1122,positive_control
HEPG2-03_3_H22,HEPG2-03,3,H22,1125,positive_control
HEPG2-03_3_J03,HEPG2-03,3,J03,1129,positive_control
HEPG2-03_3_J07,HEPG2-03,3,J07,1124,positive_control
HEPG2-03_3_J11,HEPG2-03,3,J11,1135,positive_control
HEPG2-03_3_J15,HEPG2-03,3,J15,1137,positive_control
HEPG2-03_3_J19,HEPG2-03,3,J19,1115,positive_control
HEPG2-03_3_J22,HEPG2-03,3,J22,1108,positive_control
HEPG2-03_3_M03,HEPG2-03,3,M03,1111,positive_control
HEPG2-03_3_M07,HEPG2-03,3,M07,1127,positive_control
HEPG2-03_3_M11,HEPG2-03,3,M11,1133,positive_control
HEPG2-03_3_M15,HEPG2-03,3,M15,1110,positive_control
HEPG2-03_3_M19,HEPG2-03,3,M19,1119,positive_control
HEPG2-03_3_M22,HEPG2-03,3,M22,1120,positive_control
HEPG2-03_4_B02,HEPG2-03,4,B02,1138,negative_control
HEPG2-03_4_C03,HEPG2-03,4,C03,1116,positive_control
HEPG2-03_4_C07,HEPG2-03,4,C07,1109,positive_control
HEPG2-03_4_C11,HEPG2-03,4,C11,1135,positive_control
HEPG2-03_4_C15,HEPG2-03,4,C15,1132,positive_control
HEPG2-03_4_C19,HEPG2-03,4,C19,1110,positive_control
HEPG2-03_4_C22,HEPG2-03,4,C22,1126,positive_control
HEPG2-03_4_F03,HEPG2-03,4,F03,1125,positive_control
HEPG2-03_4_F07,HEPG2-03,4,F07,1136,positive_control
HEPG2-03_4_F11,HEPG2-03,4,F11,1130,positive_control
HEPG2-03_4_F15,HEPG2-03,4,F15,1118,positive_control
HEPG2-03_4_F19,HEPG2-03,4,F19,1127,positive_control
HEPG2-03_4_F22,HEPG2-03,4,F22,1137,positive_control
HEPG2-03_4_H03,HEPG2-03,4,H03,1117,positive_control
HEPG2-03_4_H07,HEPG2-03,4,H07,1113,positive_control
HEPG2-03_4_H11,HEPG2-03,4,H11,1120,positive_control
HEPG2-03_4_H15,HEPG2-03,4,H15,1128,positive_control
HEPG2-03_4_H19,HEPG2-03,4,H19,1124,positive_control
HEPG2-03_4_H22,HEPG2-03,4,H22,1123,positive_control
HEPG2-03_4_J03,HEPG2-03,4,J03,1112,positive_control
HEPG2-03_4_J07,HEPG2-03,4,J07,1111,positive_control
HEPG2-03_4_J11,HEPG2-03,4,J11,1129,positive_control
HEPG2-03_4_J15,HEPG2-03,4,J15,1108,positive_control
HEPG2-03_4_J19,HEPG2-03,4,J19,1121,positive_control
HEPG2-03_4_J22,HEPG2-03,4,J22,1133,positive_control
HEPG2-03_4_M03,HEPG2-03,4,M03,1119,positive_control
HEPG2-03_4_M07,HEPG2-03,4,M07,1134,positive_control
HEPG2-03_4_M11,HEPG2-03,4,M11,1122,positive_control
HEPG2-03_4_M15,HEPG2-03,4,M15,1114,positive_control
HEPG2-03_4_M19,HEPG2-03,4,M19,1131,positive_control
HEPG2-03_4_M22,HEPG2-03,4,M22,1115,positive_control
HEPG2-04_1_B02,HEPG2-04,1,B02,1138,negative_control
HEPG2-04_1_C03,HEPG2-04,1,C03,1118,positive_control
HEPG2-04_1_C07,HEPG2-04,1,C07,1127,positive_control
HEPG2-04_1_C11,HEPG2-04,1,C11,1128,positive_control
HEPG2-04_1_C15,HEPG2-04,1,C15,1121,positive_control
HEPG2-04_1_C19,HEPG2-04,1,C19,1136,positive_control
HEPG2-04_1_C22,HEPG2-04,1,C22,1132,positive_control
HEPG2-04_1_F03,HEPG2-04,1,F03,1110,positive_control
HEPG2-04_1_F07,HEPG2-04,1,F07,1130,positive_control
HEPG2-04_1_F11,HEPG2-04,1,F11,1133,positive_control
HEPG2-04_1_F15,HEPG2-04,1,F15,1112,positive_control
HEPG2-04_1_F19,HEPG2-04,1,F19,1111,positive_control
HEPG2-04_1_F22,HEPG2-04,1,F22,1126,positive_control
HEPG2-04_1_H03,HEPG2-04,1,H03,1114,positive_control
HEPG2-04_1_H07,HEPG2-04,1,H07,1109,positive_control
HEPG2-04_1_H11,HEPG2-04,1,H11,1119,positive_control
HEPG2-04_1_H15,HEPG2-04,1,H15,1122,positive_control
HEPG2-04_1_H19,HEPG2-04,1,H19,1116,positive_control
HEPG2-04_1_H22,HEPG2-04,1,H22,1123,positive_control
HEPG2-04_1_J03,HEPG2-04,1,J03,1115,positive_control
HEPG2-04_1_J07,HEPG2-04,1,J07,1131,positive_control
HEPG2-04_1_J11,HEPG2-04,1,J11,1135,positive_control
HEPG2-04_1_J15,HEPG2-04,1,J15,1120,positive_control
HEPG2-04_1_J19,HEPG2-04,1,J19,1125,positive_control
HEPG2-04_1_J22,HEPG2-04,1,J22,1124,positive_control
HEPG2-04_1_M03,HEPG2-04,1,M03,1137,positive_control
HEPG2-04_1_M07,HEPG2-04,1,M07,1134,positive_control
HEPG2-04_1_M11,HEPG2-04,1,M11,1113,positive_control
HEPG2-04_1_M15,HEPG2-04,1,M15,1108,positive_control
HEPG2-04_1_M19,HEPG2-04,1,M19,1117,positive_control
HEPG2-04_1_M22,HEPG2-04,1,M22,1129,positive_control
HEPG2-04_2_B02,HEPG2-04,2,B02,1138,negative_control
HEPG2-04_2_C03,HEPG2-04,2,C03,1127,positive_control
HEPG2-04_2_C07,HEPG2-04,2,C07,1113,positive_control
